"L1","L2","TX1","TX2","D1","D2"
100,300,"aaaa","dddd",2010-10-10,2000-02-03
100,200,"aaaa","cccc",2010-09-19,2000-01-01
100,250,"aaaa","eeee",2010-10-10,2000-01-01
200,150,"ffff","eeee",2009-09-09,2003-03-03
200,120,"gggg","cccc",2000-12-12,2003-02-02
150,250,"zzzz","uuuu",1999-09-09,2000-01-01
50,120,"uuuu","dddd",2002-02-02,2001-08-17
100,300,"aaaa","dddd",2010-10-10,2000-02-03
100,200,"aaaa","cccc",2010-09-19,2000-01-01
150,150,"rrrr","dddd",2011-09-19,2000-01-01
151,140,"aaaa","dddd",2010-09-19,2001-01-01
154,160,"llll","eeee",2010-09-19,2002-01-01
153,135,"xxxx","iiii",2010-09-20,2000-01-01
100,250,"aaaa","eeee",2010-10-10,2000-01-01
200,150,"ffff","eeee",2009-09-09,2003-03-03
150,150,"rrrr","dddd",2011-09-19,2000-01-01
151,140,"aaaa","dddd",2010-09-19,2001-01-01
100,200,"aaaa","cccc",2010-09-19,2000-01-01
100,250,"aaaa","eeee",2010-10-10,2000-01-01
200,150,"ffff","eeee",2009-09-09,2003-03-03
200,120,"gggg","cccc",2000-12-12,2003-02-02
150,250,"zzzz","uuuu",1999-09-09,2000-01-01
50,120,"uuuu","dddd",2002-02-02,2001-08-17
100,300,"aaaa","dddd",2010-10-10,2000-02-03
100,200,"aaaa","cccc",2010-09-19,2000-01-01
150,150,"rrrr","dddd",2011-09-19,2000-01-01
151,140,"aaaa","dddd",2010-09-19,2001-01-01
154,160,"llll","eeee",2010-09-19,2002-01-01
153,135,"xxxx","iiii",2010-09-20,2000-01-01
100,250,"aaaa","eeee",2010-10-10,2000-01-01
154,160,"llll","eeee",2010-09-19,2002-01-01
153,135,"xxxx","iiii",2010-09-20,2000-01-01

